url,station,difficulty
https://media.discordapp.net/attachments/1227224314483576982/1235888861968728156/20240122_123714.jpg?ex=663602b2&is=6634b132&hm=5bd551085d4159d15f054438f72d5370875a339e56666adbfdf5390ec567e182&=&format=webp&width=911&height=683,Baxter,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885277558476910/1033502.jpg?ex=6635ff5b&is=6634addb&hm=35bf9fefff239a959513743fd2fa45868d9136c0ec70011b95c2b02b2f200be2&=&format=webp&width=911&height=683,Jolimont,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885362069639268/1032920.jpg?ex=6635ff6f&is=6634adef&hm=f29760f802a795046be9fd504b369aa7bd282931bd1eb27645771527dfb238b3&=&format=webp&width=911&height=683,Thomastown,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885453308330034/1033280.jpg?ex=6635ff85&is=6634ae05&hm=69e98aa9a802bdc88f25986da1ca1380929fcc92d783c892a0248b249a3d8908&=&format=webp&width=911&height=683,Malvern,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885547600220190/3283006.jpg?ex=6635ff9c&is=6634ae1c&hm=57447ca34e7eab19f523e510c2161351ac615b08f58f055c6daec5247d3afb06&=&format=webp&width=911&height=683,South Kensington,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235885601320865792/3290032.jpg?ex=6635ffa8&is=6634ae28&hm=144ea0149388c5e1e83bdbba4ebb771d9f02f66a3d437dddacd55af7b1be63ca&=&format=webp&width=911&height=683,Coburg,Medium
https://media.discordapp.net/attachments/1227224314483576982/1235889678931066950/3310075.jpg?ex=66360375&is=6634b1f5&hm=2be53372cd8ba52850a963dc2086c8ee641a2111ae2f8db8356dbedd29c91242&=&format=webp&width=786&height=590,Woodend,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235885697265696790/4043225.jpg?ex=6635ffbf&is=6634ae3f&hm=750dfb6e39981e4a95b721cc8729347f4ed6db557c4dd61b8eafbc2f144fe6c0&=&format=webp&width=911&height=683,Windsor,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885734087364678/4043306.jpg?ex=6635ffc8&is=6634ae48&hm=2df89d76a97a48566409de2dd6fb4250f275a4ceea2c3a3f1bdc1be46ecb1828&=&format=webp&width=911&height=683,Sandringham,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885769055408149/4043360.jpg?ex=6635ffd0&is=6634ae50&hm=31151092d72ac92433f1c59ce57b0175f3db169b5d11833d56c85ce2a1be89bf&=&format=webp&width=911&height=683,Highett,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885873841569822/4053480.jpg?ex=6635ffe9&is=6634ae69&hm=163304beba36e94e8d126caa40ab81219534443ccbed48ecf7661e6d6cbadbeb&=&format=webp&width=911&height=683,Middle Footscray,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885950765240390/4083710.jpg?ex=6635fffc&is=6634ae7c&hm=d51a4f4d617de4c2bf49fb0f56f97f74f9bf0c689692c78dc11579c922fdec2e&=&format=webp&width=911&height=683,Toorak,Medium
https://media.discordapp.net/attachments/1235881729697517598/1235885989126344756/4083813.jpg?ex=66360005&is=6634ae85&hm=cb7dd09c8132d1a6f885ba0bdad30927984d53e1d24632fe6e83db54da00e16a&=&format=webp&width=911&height=683,Mordialloc,Easy
https://media.discordapp.net/attachments/1235881729697517598/1235886055241023519/4094019.jpg?ex=66360015&is=6634ae95&hm=3aebff4cc63aa542670578dff8fa2f246993acfdab607f47d3a4c3d2b3e87bbe&=&format=webp&width=911&height=683,Pascoevale,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886204839264276/4104257.jpg?ex=66360038&is=6634aeb8&hm=536aa26e7ed4449b39b207d072669f0ad039ea4f5f448c9f66f7c8d6c1a9755d&=&format=webp&width=911&height=683,Ringwood,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886240482459709/4104282.jpg?ex=66360041&is=6634aec1&hm=86ef11454fb440f7f6bcc9bbe92fa98c2f4923cb54396cbc174ee78bc241e75a&=&format=webp&width=911&height=683,Auburn,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886278646435960/4134657.jpg?ex=6636004a&is=6634aeca&hm=c56186028dd17fb1e06d1ece169e52ff5d4944eba3d7fb6dd8d47aee7fceab6f&=&format=webp&width=911&height=683,Moonee Ponds,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886399102914581/4270152.jpg?ex=66360067&is=6634aee7&hm=6f9acb97d20c68103837e4e47fb0ff6e1cc0b1392c69e204e086448e4310f6d2&=&format=webp&width=911&height=683,Regent,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886527863848970/4284988.jpg?ex=66360085&is=6634af05&hm=59e22909fdc2a21b29622cc739ce2215c0fb3a326f44f0636ce3495eaab8a17b&=&format=webp&width=911&height=683,Middle Gorge,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886561174884383/4285057.jpg?ex=6636008d&is=6634af0d&hm=c07362e57301e18a05bbfa62726e426e448c78b6f9eae31337a3d32ebac51126&=&format=webp&width=911&height=683,Keon Park,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886623229739038/Ivanhoe_Tait.jpg?ex=6636009c&is=6634af1c&hm=aa510de05166ffa3d0fb96fb64bcc43d7bf03542834386e4de028440200d65c5&=&format=webp&width=911&height=683,Ivanhoe,Hard
https://media.discordapp.net/attachments/1235832156480213043/1235891040872038420/20231112_123721.jpg?ex=663604b9&is=6634b339&hm=833d49c71179ab9a9cc543d86a70cdbdb1783f8c49b1a6d99be4e6f31daf8a3b&=&format=webp&width=911&height=683,general motors,Very Hard
https://media.discordapp.net/attachments/1233010898277367808/1235890211993686046/IMG_7402.jpg?ex=663603f4&is=6634b274&hm=ab15f90e5de923574b8b4ecadd6e1ff0a8685ba6c51f5051039c5ee065dbe419&=&format=webp&width=911&height=683,Gisborne,Hard
https://media.discordapp.net/attachments/1233010898277367808/1235890316335124542/IMG_7336.jpg?ex=6636040d&is=6634b28d&hm=40f63d58a2ec6b35b6bfef8b1a38b5c8a29791f7fa98d2e099dff2fbedf70376&=&format=webp&width=512&height=683,toorak,Medium
https://media.discordapp.net/attachments/1235890609038954577/1235890764626788444/IMG_8149.jpg?ex=66360478&is=6634b2f8&hm=d5700e118e2edcfbce0861e6301ea279f30a784b60540f23cf5a0145dd6e396c&=&format=webp&width=1214&height=683,craigieburn,Hard
https://media.discordapp.net/attachments/1235890609038954577/1235902019890446416/IMG_8446.png?ex=66360ef3&is=6634bd73&hm=65744bfe4487a50d81f2bec372eeff8416ba423f4df3b8d039e1ffbf12baede2&=&format=webp&quality=lossless&width=922&height=683,Nhill,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886561174884383/4285057.jpg?ex=6636008d&is=6634af0d&hm=c07362e57301e18a05bbfa62726e426e448c78b6f9eae31337a3d32ebac51126&=&format=webp&width=911&height=683,Keon Park,Hard
https://media.discordapp.net/attachments/1235881729697517598/1235886595320840242/4285125.jpg?ex=66360095&is=6634af15&hm=06f32d4a687e51cc466b9a098c017ff4007a349f0c8ccc599e435a216cfd91a1&=&format=webp&width=911&height=683,Merri,Hard
